Time,Channel 0,Sensor
0.0025,4049,569
0.004166667,4059,565
0.005833333,4058,570
0.0075,4059,570
0.009166667,4059,569
0.010833333,4059,568
0.0125,4058,570
0.014166667,4058,571
0.015833333,4058,573
0.0175,4058,570
0.019166667,4059,566
0.020833333,4060,566
0.0225,4058,571
0.024166667,4058,570
0.025833333,4059,570
0.0275,4059,567
0.029166667,4059,563
0.030833333,4058,570
0.0325,4058,574
0.034166667,4058,570
0.035833333,4059,565
0.0375,4058,566
0.039166667,4058,571
0.040833333,4059,572
0.0425,4059,570
0.044166667,4058,570
0.045833333,4058,564
0.0475,4058,569
0.049166667,4058,572
0.050833333,4058,569
0.0525,4059,567
0.054166667,4058,569
0.055833333,4059,570
0.0575,4058,569
0.059166667,4060,573
0.060833333,4059,563
0.0625,4058,566
0.064166667,4057,570
0.065833333,4059,569
0.0675,4058,570
0.069166667,4057,567
0.070833333,4058,563
0.0725,4059,572
0.074166667,4058,574
0.075833333,4058,566
0.0775,4059,564
0.079166667,4059,569
0.080833333,4058,568
0.0825,4058,570
0.084166667,4057,568
0.085833333,4059,568
0.0875,4058,565
0.089166667,4059,574
0.090833333,4059,572
0.0925,4059,570
0.094166667,4059,566
0.095833333,4057,571
0.0975,4059,574
0.099166667,4058,571
0.100833333,4058,566
0.1025,4059,566
0.104166667,4057,563
0.105833333,4058,568
0.1075,4059,570
0.109166667,4058,573
0.110833333,4058,565
0.1125,4058,563
0.114166667,4058,570
0.115833333,4058,571
0.1175,4058,571
0.119166667,4060,569
0.120833333,4059,567
0.1225,4058,572
0.124166667,4058,570
0.125833333,4058,571
0.1275,4059,569
0.129166667,4058,566
0.130833333,4059,572
0.1325,4059,570
0.134166667,4058,570
0.135833333,4058,566
0.1375,4058,569
0.139166667,4058,573
0.140833333,4058,568
0.1425,4059,570
0.144166667,4057,566
0.145833333,4058,565
0.1475,4058,573
0.149166667,4058,569
0.150833333,4059,568
0.1525,4058,569
0.154166667,4059,569
0.155833333,4058,570
0.1575,4058,571
0.159166667,4058,570
0.160833333,4059,571
0.1625,4060,570
0.164166667,4058,573
0.165833333,4058,569
0.1675,4058,569
0.169166667,4058,566
0.170833333,4057,563
0.1725,4058,569
0.174166667,4057,570
0.175833333,4059,570
0.1775,4058,569
0.179166667,4058,567
0.180833333,4058,570
0.1825,4058,571
0.184166667,4059,566
0.185833333,4058,571
0.1875,4058,566
0.189166667,4058,572
0.190833333,4058,573
0.1925,4058,571
0.194166667,4058,570
0.195833333,4058,569
0.1975,4058,571
0.199166667,4059,571
0.200833333,4058,569
0.2025,4058,564
0.204166667,4058,567
0.205833333,4058,571
0.2075,4058,570
0.209166667,4059,568
0.210833333,4057,564
0.2125,4058,569
0.214166667,4059,569
0.215833333,4058,571
0.2175,4058,570
0.219166667,4058,567
0.220833333,4059,571
0.2225,4059,574
0.224166667,4058,568
0.225833333,4057,570
0.2275,4058,570
0.229166667,4058,565
0.230833333,4059,575
0.2325,4058,570
0.234166667,4059,572
0.235833333,4058,569
0.2375,4059,570
0.239166667,4058,572
0.240833333,4059,570
0.2425,4057,567
0.244166667,4059,566
0.245833333,4059,568
0.2475,4059,572
0.249166667,4059,572
0.250833333,4059,570
0.2525,4059,566
0.254166667,4059,563
0.255833333,4058,570
0.2575,4058,571
0.259166667,4058,568
0.260833333,4059,571
0.2625,4059,568
0.264166667,4058,573
0.265833333,4059,571
0.2675,4058,567
0.269166667,4058,569
0.270833333,4059,568
0.2725,4059,573
0.274166667,4058,571
0.275833333,4058,572
0.2775,4059,568
0.279166667,4060,569
0.280833333,4058,569
0.2825,4059,572
0.284166667,4058,568
0.285833333,4059,565
0.2875,4058,569
0.289166667,4058,572
0.290833333,4059,572
0.2925,4058,571
0.294166667,4058,566
0.295833333,4058,568
0.2975,4058,570
0.299166667,4058,570
0.300833333,4059,569
0.3025,4059,569
0.304166667,4058,560
0.305833333,4058,569
0.3075,4059,573
0.309166667,4058,567
0.310833333,4058,569
0.3125,4058,565
0.314166667,4058,575
0.315833333,4057,567
0.3175,4058,573
0.319166667,4058,568
0.320833333,4059,565
0.3225,4058,571
0.324166667,4058,572
0.325833333,4058,567
0.3275,4058,566
0.329166667,4059,569
0.330833333,4058,569
0.3325,4058,572
0.334166667,4058,566
0.335833333,4059,567
0.3375,4058,568
0.339166667,4058,570
0.340833333,4057,568
0.3425,4059,567
0.344166667,4058,564
0.345833333,4058,565
0.3475,4058,567
0.349166667,4058,570
0.350833333,4058,569
0.3525,4058,566
0.354166667,4058,566
0.355833333,4059,570
0.3575,4059,574
0.359166667,4058,569
0.360833333,4058,567
0.3625,4058,567
0.364166667,4060,572
0.365833333,4058,572
0.3675,4058,568
0.369166667,4059,568
0.370833333,4059,567
0.3725,4059,574
0.374166667,4058,575
0.375833333,4059,570
0.3775,4058,567
0.379166667,4058,566
0.380833333,4058,569
0.3825,4058,569
0.384166667,4058,568
0.385833333,4058,568
0.3875,4058,568
0.389166667,4059,572
0.390833333,4058,570
0.3925,4059,568
0.394166667,4059,568
0.395833333,4058,563
0.3975,4059,569
0.399166667,4058,569
0.400833333,4058,572
0.4025,4058,569
0.404166667,4058,566
0.405833333,4059,571
0.4075,4058,569
0.409166667,4058,571
0.410833333,4059,568
0.4125,4058,566
0.414166667,4057,569
0.415833333,4057,572
0.4175,4059,568
0.419166667,4059,571
0.420833333,4057,568
0.4225,4060,573
0.424166667,4059,573
0.425833333,4058,569
0.4275,4058,565
0.429166667,4059,568
0.430833333,4057,570
0.4325,4059,571
0.434166667,4059,570
0.435833333,4058,567
0.4375,4057,567
0.439166667,4058,571
0.440833333,4058,570
0.4425,4059,571
0.444166667,4059,567
0.445833333,4058,565
0.4475,4058,572
0.449166667,4059,570
0.450833333,4058,568
0.4525,4058,569
0.454166667,4059,567
0.455833333,4059,574
0.4575,4059,575
0.459166667,4058,569
0.460833333,4058,567
0.4625,4058,569
0.464166667,4058,569
0.465833333,4058,570
0.4675,4059,570
0.469166667,4058,566
0.470833333,4059,569
0.4725,4058,572
0.474166667,4058,568
0.475833333,4058,564
0.4775,4059,570
0.479166667,4058,566
0.480833333,4058,571
0.4825,4059,573
0.484166667,4057,566
0.485833333,4058,569
0.4875,4058,565
0.489166667,4058,572
0.490833333,4059,572
0.4925,4058,565
0.494166667,4058,567
0.495833333,4058,566
0.4975,4060,571
0.499166667,4059,574
0.500833333,4059,571
0.5025,4058,564
0.504166667,4058,570
0.505833333,4058,572
0.5075,4058,570
0.509166667,4058,565
0.510833333,4058,566
0.5125,4059,571
0.514166667,4057,572
0.515833333,4057,572
0.5175,4058,571
0.519166667,4058,565
0.520833333,4059,566
0.5225,4057,570
0.524166667,4058,572
0.525833333,4060,570
0.5275,4058,565
0.529166667,4058,566
0.530833333,4059,570
0.5325,4058,570
0.534166667,4058,569
0.535833333,4058,569
0.5375,4059,568
0.539166667,4059,571
0.540833333,4059,573
0.5425,4058,568
0.544166667,4058,568
0.545833333,4058,566
0.5475,4059,575
0.549166667,4058,570
0.550833333,4058,568
0.5525,4060,569
0.554166667,4058,566
0.555833333,4058,572
0.5575,4058,571
0.559166667,4058,567
0.560833333,4058,570
0.5625,4058,568
0.564166667,4055,571
0.565833333,4058,571
0.5675,4058,567
0.569166667,4059,569
0.570833333,4057,568
0.5725,4059,571
0.574166667,4058,567
0.575833333,4058,570
0.5775,4059,570
0.579166667,4058,567
0.580833333,4058,573
0.5825,4058,573
0.584166667,4058,569
0.585833333,4058,565
0.5875,4059,569
0.589166667,4058,571
0.590833333,4058,572
0.5925,4058,567
0.594166667,4059,567
0.595833333,4058,566
0.5975,4058,568
0.599166667,4057,573
0.600833333,4058,567
0.6025,4058,572
0.604166667,4059,567
0.605833333,4058,572
0.6075,4058,571
0.609166667,4059,569
0.610833333,4058,563
0.6125,4058,569
0.614166667,4058,570
0.615833333,4058,571
0.6175,4059,571
0.619166667,4058,568
0.620833333,4058,561
0.6225,4058,569
0.624166667,4058,569
0.625833333,4058,571
0.6275,4059,572
0.629166667,4058,567
0.630833333,4058,573
0.6325,4058,573
0.634166667,4058,564
0.635833333,4059,567
0.6375,4058,566
0.639166667,4059,571
0.640833333,4059,571
0.6425,4059,570
0.644166667,4059,566
0.645833333,4058,570
0.6475,4058,569
0.649166667,4059,569
0.650833333,4058,568
0.6525,4059,565
0.654166667,4058,567
0.655833333,4059,571
0.6575,4058,569
0.659166667,4058,570
0.660833333,4059,566
0.6625,4059,567
0.664166667,4057,570
0.665833333,4058,570
0.6675,4058,566
0.669166667,4059,566
0.670833333,4057,566
0.6725,4058,571
0.674166667,4058,569
0.675833333,4059,568
0.6775,4058,568
0.679166667,4059,566
0.680833333,4058,573
0.6825,4057,568
0.684166667,4058,567
0.685833333,4059,567
0.6875,4058,569
0.689166667,4058,571
0.690833333,4058,568
0.6925,4058,567
0.694166667,4059,570
0.695833333,4058,568
0.6975,4058,570
0.699166667,4058,571
0.700833333,4058,569
0.7025,4058,567
0.704166667,4058,568
0.705833333,4058,572
0.7075,4059,572
0.709166667,4058,564
0.710833333,4057,566
0.7125,4057,567
0.714166667,4058,574
0.715833333,4058,575
0.7175,4058,566
0.719166667,4058,571
0.720833333,4058,569
0.7225,4058,568
0.724166667,4058,569
0.725833333,4058,569
0.7275,4058,564
0.729166667,4058,570
0.730833333,4058,569
0.7325,4058,572
0.734166667,4058,568
0.735833333,4059,566
0.7375,4057,567
0.739166667,4058,570
0.740833333,4058,571
0.7425,4058,566
0.744166667,4059,569
0.745833333,4058,566
0.7475,4058,572
0.749166667,4058,571
0.750833333,4059,569
0.7525,4058,566
0.754166667,4057,566
0.755833333,4058,570
0.7575,4058,572
0.759166667,4058,567
0.760833333,4058,567
0.7625,4058,567
0.764166667,4057,569
0.765833333,4059,575
0.7675,4059,569
0.769166667,4058,566
0.770833333,4058,568
0.7725,4058,571
0.774166667,4058,570
0.775833333,4058,570
0.7775,4058,569
0.779166667,4058,566
0.780833333,4058,571
0.7825,4058,572
0.784166667,4058,565
0.785833333,4058,568
0.7875,4059,572
0.789166667,4058,573
0.790833333,4058,573
0.7925,4059,568
0.794166667,4058,566
0.795833333,4060,571
0.7975,4057,571
0.799166667,4058,573
0.800833333,4058,568
0.8025,4057,563
0.804166667,4059,569
0.805833333,4058,571
0.8075,4058,572
0.809166667,4059,568
0.810833333,4059,569
0.8125,4059,568
0.814166667,4058,571
0.815833333,4058,571
0.8175,4057,567
0.819166667,4058,567
0.820833333,4058,571
0.8225,4058,572
0.824166667,4058,573
0.825833333,4059,568
0.8275,4058,567
0.829166667,4058,567
0.830833333,4059,573
0.8325,4058,571
0.834166667,4059,566
0.835833333,4058,569
0.8375,4058,572
0.839166667,4057,569
0.840833333,4059,573
0.8425,4058,564
0.844166667,4058,568
0.845833333,4057,566
0.8475,4058,569
0.849166667,4058,571
0.850833333,4058,569
0.8525,4058,569
0.854166667,4058,569
0.855833333,4058,568
0.8575,4058,571
0.859166667,4059,569
0.860833333,4057,566
0.8625,4058,565
0.864166667,4058,570
0.865833333,4058,573
0.8675,4058,568
0.869166667,4057,564
0.870833333,4058,564
0.8725,4058,572
0.874166667,4057,571
0.875833333,4059,568
0.8775,4058,568
0.879166667,4058,570
0.880833333,4057,573
0.8825,4058,570
0.884166667,4059,568
0.885833333,4058,569
0.8875,4057,567
0.889166667,4058,569
0.890833333,4057,569
0.8925,4057,565
0.894166667,4059,567
0.895833333,4058,570
0.8975,4058,568
0.899166667,4057,573
0.900833333,4057,565
0.9025,4059,568
0.904166667,4059,567
0.905833333,4058,573
0.9075,4058,573
0.909166667,4058,568
0.910833333,4058,568
0.9125,4058,571
0.914166667,4058,567
0.915833333,4059,572
0.9175,4057,566
0.919166667,4058,569
0.920833333,4058,568
0.9225,4057,567
0.924166667,4058,571
0.925833333,4057,570
0.9275,4057,563
0.929166667,4059,569
0.930833333,4059,573
0.9325,4058,568
0.934166667,4058,566
0.935833333,4059,568
0.9375,4058,566
0.939166667,4058,572
0.940833333,4058,569
0.9425,4058,567
0.944166667,4059,569
0.945833333,4059,568
0.9475,4058,570
0.949166667,4058,573
0.950833333,4058,573
0.9525,4059,568
0.954166667,4059,569
0.955833333,4058,571
0.9575,4058,570
0.959166667,4058,570
0.960833333,4059,567
0.9625,4057,569
0.964166667,4057,569
0.965833333,4058,570
0.9675,4058,567
0.969166667,4058,568
0.970833333,4058,568
0.9725,4055,571
0.974166667,4058,569
0.975833333,4058,566
0.9775,4059,567
0.979166667,4057,568
0.980833333,4058,569
0.9825,4059,569
0.984166667,4058,564
0.985833333,4058,566
0.9875,4057,566
0.989166667,4059,569
0.990833333,4057,570
0.9925,4058,568
0.994166667,4058,563
0.995833333,4058,569
0.9975,4058,570
0.999166667,4058,568
1.000833333,4057,565
1.0025,4058,564
1.004166667,4058,568
1.005833333,4058,571
1.0075,4058,570
1.009166667,4058,569
1.010833333,4058,567
1.0125,4059,570
1.014166667,4058,570
1.015833333,4058,570
1.0175,4059,566
1.019166667,4058,568
1.020833333,4058,571
1.0225,4057,572
1.024166667,4058,572
1.025833333,4058,565
1.0275,4058,567
1.029166667,4058,567
1.030833333,4059,572
1.0325,4058,572
1.034166667,4058,568
1.035833333,4057,565
1.0375,4058,567
1.039166667,4058,569
1.040833333,4057,570
1.0425,4058,569
1.044166667,4059,566
1.045833333,4058,571
1.0475,4058,574
1.049166667,4058,571
1.050833333,4057,567
1.0525,4059,570
1.054166667,4058,569
1.055833333,4057,571
1.0575,4059,572
1.059166667,4058,568
1.060833333,4058,565
1.0625,4058,571
1.064166667,4058,569
1.065833333,4058,569
1.0675,4058,565
1.069166667,4058,566
1.070833333,4058,567
1.0725,4058,569
1.074166667,4058,574
1.075833333,4058,565
1.0775,4059,570
1.079166667,4059,569
1.080833333,4058,574
1.0825,4057,567
1.084166667,4058,565
1.085833333,4058,569
1.0875,4058,567
